Scores_Aroma;Scores_Flavor;Scores_Aftertaste;Scores_Acidity;Scores_Body;Scores_Balance;Scores_Uniformity;Scores_Sweetness;Scores_Moisture;Scores_Total;Color
85;85;80;80;80;80;100;100;12;8692;Green
85;817;80;775;80;80;100;100;12;8642;Green
833;80;80;80;775;80;100;100;11;8608;Blue-Green
80;80;80;767;775;80;100;100;11;8542;Blue-Green
80;792;775;775;80;775;100;100;11;8492;Green
80;80;775;80;75;775;100;100;12;8492;Green
80;80;775;775;758;775;100;100;12;8458;Green
85;80;75;775;75;783;100;100;11;8458;Blue-Green
775;75;758;75;775;75;100;100;12;8317;Blue-Green
767;767;758;75;767;742;100;100;12;830;Bluish-Green
733;758;717;758;742;758;100;100;0;8242;Green
733;742;733;733;75;767;100;100;0;8175;Green
75;742;725;717;717;775;100;100;11;8142;Green
708;733;717;725;733;767;100;100;13;8075;Bluish-Green
842;85;833;85;825;825;100;100;11;8875;Bluish-Green
817;825;817;80;783;817;100;100;13;8717;Green
842;817;817;80;758;80;100;100;11;865;Bluish-Green
783;833;783;825;758;792;100;100;1;8617;Green
825;80;783;808;80;792;100;100;1;860;Blue-Green
783;80;80;817;783;80;100;100;12;8583;Green
80;80;783;833;783;783;100;100;1;8583;Bluish-Green
833;842;783;833;80;825;933;100;12;8575;Bluish-Green
783;808;775;808;792;775;100;100;0;8533;Green
80;792;792;808;783;775;100;100;0;8533;Green
775;783;767;80;808;783;100;100;11;8517;Green
783;80;775;775;783;783;100;100;11;8508;Green
775;783;775;808;80;775;100;100;0;850;Green
80;80;783;783;767;767;100;100;12;850;Green
775;792;783;775;775;80;100;100;11;8492;Green
808;783;775;783;792;80;100;933;0;8467;Green
775;792;783;80;758;775;100;100;11;8467;Bluish-Green
80;783;767;783;767;80;100;100;11;8467;Green
767;783;767;80;767;783;100;100;12;8467;Green
792;783;775;792;767;775;100;100;11;8467;Blue-Green
767;783;783;80;758;792;100;100;0;8458;Green
775;783;775;80;783;767;100;100;12;8458;Bluish-Green
742;767;775;775;808;783;100;100;11;8458;Green
792;783;767;80;767;775;100;100;11;845;Blue-Green
80;792;742;808;75;767;100;100;12;845;Green
767;80;767;80;75;783;100;100;11;845;Green
783;783;775;80;75;775;100;100;11;8442;Blue-Green
792;792;75;783;75;792;100;100;11;8442;Blue-Green
80;775;775;783;75;767;100;100;12;8433;Blue-Green
733;792;792;792;792;808;100;933;11;8425;Bluish-Green
783;783;775;767;783;758;100;100;12;8425;Green
783;792;767;775;75;775;100;100;1;8425;Bluish-Green
817;775;758;767;783;758;100;100;13;8425;Green
775;775;775;775;783;775;100;100;0;8417;Green
783;75;75;80;783;783;100;100;11;8417;Bluish-Green
783;775;75;783;783;775;100;100;11;8417;Green
783;775;783;783;742;808;933;100;11;8408;Green
767;775;767;775;767;775;100;100;11;8408;Green
767;783;75;775;792;767;100;100;0;840;Green
792;817;817;842;808;817;867;933;12;840;Green
767;775;767;775;783;767;100;100;0;840;Bluish-Green
792;775;758;767;767;783;100;100;1;840;Green
767;775;758;767;775;783;100;100;12;8392;Blue-Green
775;792;783;792;775;767;933;100;0;8392;Green
767;80;767;742;767;75;100;100;1;8383;Green
767;758;758;767;775;775;100;100;11;8375;Bluish-Green
775;775;758;783;717;775;100;100;11;8367;Green
817;817;783;767;808;775;933;933;11;8367;Green
767;817;75;742;758;783;100;100;11;8367;Green
767;75;75;733;783;825;100;100;12;8367;Green
817;767;758;758;742;767;100;100;12;8367;Green
767;75;733;80;767;767;100;100;1;8367;Green
767;767;758;767;775;758;100;100;11;8358;Green
767;758;758;758;767;775;100;100;11;8358;Green
783;775;75;775;75;758;100;100;12;8358;Blue-Green
783;758;725;75;75;742;100;100;13;835;Green
775;767;767;775;733;75;100;100;12;835;Green
783;75;75;80;767;75;100;100;1;835;Green
767;758;758;767;767;767;100;100;11;835;Green
75;75;775;75;80;767;100;100;0;835;Green
742;775;767;758;767;767;100;100;0;8342;Green
75;775;758;75;767;775;100;100;11;8342;Green
758;75;767;75;783;742;100;100;11;8333;Green
792;75;758;783;767;767;933;100;1;8333;Bluish-Green
75;767;767;758;767;758;100;100;0;8333;Green
758;775;783;80;808;767;933;933;11;8325;Bluish-Green
775;758;758;758;75;758;100;100;13;8325;Green
783;758;708;783;742;808;100;100;11;8325;Green
775;767;75;758;758;758;100;100;11;8325;Blue-Green
767;758;758;742;783;758;100;100;12;8325;Green
767;767;75;75;758;767;100;100;11;8325;Green
767;75;75;75;758;817;100;100;11;8317;Green
775;75;742;775;758;758;100;100;13;8317;Green
758;767;75;758;767;767;100;100;11;8317;Blue-Green
775;767;758;75;758;758;100;100;12;8317;Green
792;758;75;758;742;75;100;100;11;8317;Green
775;75;767;75;792;80;100;933;0;8317;Green
783;783;733;717;775;767;100;100;1;8308;Bluish-Green
733;758;758;792;767;758;100;100;12;8308;Green
75;75;742;758;775;758;100;100;11;830;Green
767;758;742;75;767;758;100;100;11;830;Green
767;783;75;758;758;767;933;100;11;830;Green
75;767;75;75;758;758;100;100;11;830;Green
775;758;75;767;783;775;933;100;0;830;Green
767;758;758;758;767;742;100;100;11;830;Green
75;767;75;767;75;783;100;100;1;830;Green
758;758;725;758;758;758;100;100;1;8292;Green
758;758;733;725;758;775;100;100;1;8292;Green
80;792;767;717;767;742;933;100;14;8292;Green
75;75;75;742;767;783;100;100;1;8292;Green
767;75;733;725;758;775;100;100;11;8283;Green
758;767;75;758;75;75;100;100;12;8283;Green
767;758;742;775;742;742;100;100;12;8283;Blue-Green
767;767;733;75;733;792;100;100;11;8283;Green
75;758;742;767;75;758;100;100;0;8275;Blue-Green
767;758;758;758;75;742;100;100;11;8275;Green
725;775;75;783;767;767;933;100;12;8275;Green
742;742;75;758;75;775;100;100;0;8275;Green
775;758;767;725;758;742;100;100;11;8267;Bluish-Green
767;767;717;767;75;75;100;100;11;8267;Green
783;733;783;733;758;783;100;933;12;8267;Bluish-Green
75;758;742;758;742;758;100;100;0;8258;Blue-Green
75;758;75;75;742;75;100;100;1;8258;Green
767;758;758;775;767;683;100;100;12;8258;Green
733;742;758;742;767;75;100;100;11;8258;Green
767;75;733;767;75;733;100;100;12;825;Green
767;733;733;733;75;783;100;100;11;825;Green
767;75;733;75;725;767;100;100;11;825;Green
733;742;733;775;742;767;100;100;12;825;Green
758;767;733;75;75;742;100;100;12;8242;Blue-Green
775;733;725;758;758;733;100;100;13;8242;Green
75;758;733;75;75;75;100;100;11;8242;Green
758;758;717;75;75;75;100;100;14;8242;Green
758;733;733;758;75;75;100;100;11;8242;Green
783;75;742;767;717;733;100;100;12;8242;Bluish-Green
775;75;742;742;75;742;100;100;11;8242;Blue-Green
767;75;733;767;75;733;100;100;11;8233;Green
767;758;75;758;75;75;100;100;13;8233;Green
75;767;733;75;733;75;100;100;1;8233;Green
758;75;742;75;75;742;100;100;12;8233;Green
80;775;733;733;708;767;933;100;11;8233;Green
758;758;725;758;742;75;100;100;11;8233;Green
783;758;733;725;758;742;100;100;0;8233;Green
75;758;742;767;733;742;100;100;13;8225;Green
767;758;733;75;742;742;100;100;12;8225;Green
775;733;733;75;75;75;100;100;0;8225;Green
733;758;742;767;733;75;100;100;11;8225;Green
742;75;742;758;742;75;100;100;1;8225;Green
75;742;767;733;758;733;100;100;12;8225;Green
767;733;733;733;75;75;100;100;11;8225;Green
767;758;742;70;75;758;100;100;12;8225;Green
75;758;725;75;75;733;100;100;12;8217;Green
70;767;75;75;742;75;100;100;1;8217;Green
725;758;758;725;75;742;100;100;11;8208;Bluish-Green
75;742;742;75;725;75;100;100;13;8208;Green
767;75;725;758;742;733;100;100;11;8208;Green
767;80;717;708;767;708;100;100;12;8208;Green
758;742;725;775;733;742;100;100;11;8208;Green
733;75;733;758;708;783;100;100;1;8208;Green
767;733;725;75;742;742;100;100;12;820;Green
742;75;733;75;733;75;100;100;12;820;Green
742;75;725;75;75;742;100;100;11;820;Blue-Green
733;733;733;75;767;767;100;100;11;820;Green
758;75;717;75;75;742;100;100;12;820;Green
775;733;733;742;775;767;100;933;0;820;Green
742;733;733;758;733;75;100;100;11;8192;Green
733;758;717;758;742;733;100;100;12;8192;Green
742;758;725;75;733;75;100;100;12;8192;Green
783;783;783;80;783;783;100;100;0;8183;Bluish-Green
783;733;725;758;725;733;100;100;12;8183;Green
733;733;725;75;75;75;100;100;12;8183;Green
742;75;717;767;733;742;100;100;13;8175;Green
742;75;733;758;733;733;100;100;11;8175;Green
733;742;733;767;742;725;100;100;12;8175;Green
75;767;733;733;733;733;100;100;11;8167;Green
725;767;758;767;767;758;867;100;13;8167;Green
767;725;717;775;75;725;100;100;11;8167;Green
75;742;733;742;742;742;100;100;11;8167;Green
758;742;725;758;725;717;100;100;11;8167;Green
742;733;733;733;717;783;100;100;1;8167;Green
758;742;725;742;733;733;100;100;12;815;Green
742;725;717;742;717;80;100;100;12;815;Green
733;75;733;733;733;742;100;100;11;815;Green
742;742;733;717;725;742;100;100;13;815;Green
75;75;725;75;742;758;933;100;11;815;Green
775;717;717;733;758;733;100;100;12;815;Green
733;75;733;742;717;733;100;100;11;815;Green
758;742;725;733;725;725;100;100;13;8133;Green
742;742;733;733;75;742;933;100;12;8125;Green
742;725;708;775;742;717;100;100;13;8117;Green
742;725;733;725;725;742;100;100;12;8117;Green
742;733;725;742;75;717;100;100;12;8117;Green
733;725;733;742;725;742;100;100;12;8108;Green
733;733;725;742;725;725;100;100;11;8108;Green
742;733;725;742;717;725;100;100;1;8108;Green
742;742;725;758;692;717;100;100;6;8108;Blue-Green
733;742;725;742;725;717;100;100;0;810;Green
708;733;733;733;742;725;100;100;12;810;Green
758;767;75;767;758;75;80;100;0;810;Green
758;733;708;75;717;725;100;100;13;8092;Green
717;708;725;742;725;733;100;100;13;8083;Green
75;717;733;725;717;717;100;100;13;8083;Green
742;733;70;725;733;75;100;100;1;8083;Blue-Green
758;733;742;725;75;75;933;100;11;8075;Green
742;70;742;725;708;733;100;100;12;8075;Green
70;733;75;733;70;733;100;100;11;8067;Green
70;75;733;717;717;717;100;100;11;8067;Green
692;717;708;75;733;717;100;100;1;8042;Green
742;708;708;733;725;717;100;100;12;8042;Green
717;75;692;733;767;733;933;100;12;8033;Green
742;80;783;775;808;758;867;867;1;8025;Green
70;717;733;733;70;717;100;100;11;8025;Green
758;742;733;75;708;717;867;100;14;8017;Green
733;733;717;708;725;70;100;100;12;8017;Green
733;733;70;733;70;70;100;100;11;8017;Green
725;708;70;717;733;717;100;100;14;8008;Green
733;667;708;742;742;708;100;100;0;800;Green
725;725;708;717;733;733;933;100;12;800;Green
708;733;70;733;708;70;100;100;11;800;Green
717;717;692;725;733;708;100;100;12;7992;Green
717;708;708;708;75;733;933;100;11;7992;Green
733;725;70;742;717;717;933;100;12;7992;Green
717;708;70;725;75;70;100;100;12;7983;Green
758;708;683;717;75;717;933;100;12;7983;Blue-Green
733;725;70;708;708;70;100;100;1;7975;Green
758;733;75;733;70;733;933;933;0;7975;Green
725;692;692;733;725;70;100;100;13;7958;Green
725;708;692;725;758;708;933;100;12;795;Green
725;733;70;725;717;717;933;100;12;795;Bluish-Green
742;717;708;717;708;708;933;100;14;7933;Green
717;65;633;725;758;733;100;100;11;7933;Green
70;70;692;717;717;708;100;100;13;7925;Green
717;692;692;708;717;70;100;100;14;7917;Green
717;725;725;717;725;708;933;100;1;7908;Bluish-Green
75;717;692;75;725;70;867;100;14;790;Green
725;683;683;70;717;70;100;100;14;7875;Green
70;70;675;733;692;692;100;100;13;7858;Green
725;717;70;683;758;708;867;100;13;785;Green
717;717;65;717;70;683;100;100;11;7833;Green
717;608;617;725;733;733;100;100;11;7833;Green
742;733;733;75;767;775;80;933;11;7825;Green
708;683;667;725;725;692;100;100;11;7808;Green
725;733;70;70;725;708;100;80;12;780;Green
742;725;70;70;725;708;80;100;11;7792;Green
717;617;617;708;733;683;100;100;11;7792;Green
717;675;658;675;683;675;100;100;13;775;Green
708;70;70;725;733;725;867;100;12;7717;Green
717;658;658;70;725;658;933;100;13;7642;Green
75;70;683;75;717;733;867;867;11;7633;Green
683;65;65;692;675;70;933;933;12;7583;Green
792;758;717;758;733;717;80;80;11;7558;Green
717;692;667;683;725;775;100;100;11;7517;Green
717;717;683;717;742;667;867;100;13;7517;Bluish-Green
70;692;675;692;717;683;100;100;14;750;Green
733;675;667;725;75;70;100;100;12;7483;Green
70;658;667;683;708;683;100;100;14;7433;Green
767;70;717;758;733;733;100;100;12;7383;Green
692;692;692;692;717;70;100;100;12;7108;Green
65;667;642;717;733;65;80;100;11;710;Green
675;658;642;667;708;667;933;60;14;6792;Blue-Green
75;667;667;767;733;667;80;133;1;5983;Green
80;792;767;80;775;792;100;775;0;8275;Green
792;75;742;742;742;742;933;758;0;7933;Green
858;842;842;85;825;833;100;100;11;8883;Bluish-Green
842;817;792;817;833;80;100;100;11;8708;Bluish-Green
842;817;817;817;783;792;100;100;12;8683;Green
808;80;80;825;792;792;100;100;12;8625;Blue-Green
775;792;783;808;808;817;100;100;12;860;Green
792;817;783;85;75;792;100;100;11;860;Green
817;817;792;808;783;775;100;100;12;8592;Green
80;80;80;817;783;80;100;100;0;8592;Blue-Green
80;80;80;808;792;775;100;100;1;8575;Green
792;817;80;792;775;783;100;100;1;8558;Blue-Green
833;792;767;792;767;792;100;100;12;855;Green
80;783;767;833;783;80;100;100;11;855;Green
808;80;783;767;80;783;100;100;12;8542;Green
775;792;767;767;825;775;100;100;12;8483;Green
783;783;783;775;758;783;100;100;1;8458;Bluish-Green
775;775;775;808;775;775;100;100;0;8458;Green
767;80;775;783;775;758;100;100;0;845;Green
817;783;767;783;767;783;100;100;11;845;Green
775;758;733;783;758;808;100;100;0;8433;Green
758;75;775;783;792;783;100;100;11;8425;Green
767;775;767;775;775;775;100;100;11;8417;Bluish-Green
758;775;775;775;775;783;100;100;8;8417;Green
792;775;767;767;783;792;100;100;11;8417;Green
842;808;75;717;758;817;933;100;11;8417;Bluish-Green
775;775;75;758;767;792;100;100;9;840;Green
767;783;767;775;767;775;100;100;11;840;Green
783;742;75;783;775;783;100;100;1;8383;Green
75;767;758;775;783;783;100;100;9;8383;Bluish-Green
767;758;758;783;758;767;100;100;11;8383;Green
75;783;75;783;783;767;100;100;11;8383;Green
80;792;758;775;733;75;100;100;12;8375;Green
783;783;783;767;80;817;933;100;12;8375;Green
758;767;775;767;767;767;100;100;0;8375;Blue-Green
775;767;775;758;742;80;100;100;11;8375;Green
725;742;767;758;783;825;100;100;0;8375;Bluish-Green
783;775;767;758;758;767;100;100;0;8367;Green
767;767;767;767;733;775;100;100;0;8367;Green
767;767;742;767;80;775;100;100;12;8367;Green
783;767;733;767;767;783;100;100;11;8367;Green
767;767;742;775;775;767;100;100;12;8358;Green
758;775;75;783;742;767;100;100;1;835;Green
758;775;742;767;775;767;100;100;0;835;Green
758;767;758;775;758;775;100;100;11;835;Green
775;783;733;783;75;767;100;100;1;8342;Green
767;75;775;742;775;775;100;100;11;8342;Green
75;767;767;75;783;717;100;100;11;8333;Green
783;775;758;783;792;758;933;100;12;8333;Green
767;767;75;767;792;742;100;100;11;8333;Green
783;767;717;767;767;767;100;100;11;8333;Green
783;75;767;733;767;767;100;100;11;8325;Green
758;775;75;75;758;758;100;100;12;8325;Green
75;75;75;767;767;767;100;100;1;8317;Green
75;75;758;742;792;767;100;100;11;8317;Bluish-Green
767;783;733;767;75;767;100;100;11;8317;Green
775;758;758;758;75;742;100;100;11;8317;Green
733;775;758;733;783;767;100;100;12;8308;Bluish-Green
783;758;75;75;758;75;100;100;12;830;Green
767;75;767;783;775;783;100;933;0;830;Bluish-Green
767;758;75;758;75;75;100;100;11;830;Green
775;742;733;75;758;717;100;100;11;830;Green
783;75;758;733;75;767;100;100;0;830;Green
733;767;775;742;775;758;100;100;11;830;Green
758;775;742;767;758;742;100;100;0;830;Green
80;75;75;758;733;742;100;100;12;8292;Green
775;758;758;75;75;75;100;100;12;8292;Green
758;75;775;733;758;758;100;100;11;8292;Green
775;75;725;75;775;75;100;100;0;8292;Bluish-Green
783;775;725;792;75;717;100;100;11;8292;Green
783;767;742;742;75;758;100;100;11;8292;Green
75;742;758;75;758;758;100;100;0;8283;Green
783;75;75;742;75;75;100;100;11;8283;Green
767;758;742;783;733;75;100;100;1;8275;Blue-Green
758;783;775;775;742;80;933;100;1;8275;Green
758;733;717;733;725;858;100;100;1;8275;Green
758;758;75;75;75;75;100;100;12;8275;Green
767;75;733;767;75;75;100;100;12;8267;Green
783;75;742;758;742;742;100;100;12;8258;Green
767;742;75;767;70;775;100;100;11;8258;Green
775;725;733;742;75;783;100;100;11;8258;Blue-Green
758;75;742;758;767;742;100;100;11;8258;Green
742;758;75;767;725;75;100;100;0;825;Green
783;742;733;767;742;75;100;100;12;825;Green
75;75;742;742;758;758;100;100;11;825;Green
783;767;717;733;75;767;100;100;11;825;Green
75;75;75;767;742;75;100;100;1;8242;Green
758;758;758;775;75;758;933;100;0;8242;Green
75;758;75;792;742;767;933;100;12;8242;Green
767;742;733;75;758;75;100;100;11;8242;Green
75;742;742;767;742;758;100;100;12;8242;Green
742;733;75;717;708;833;100;100;1;8233;Green
75;742;758;75;75;758;100;100;12;8233;Green
75;742;75;75;75;758;100;100;0;8233;Green
767;75;742;75;742;742;100;100;12;8233;Green
758;758;742;742;742;742;100;100;12;8225;Blue-Green
733;742;75;767;75;742;100;100;0;8225;Bluish-Green
733;725;725;758;775;75;100;100;0;8217;Bluish-Green
75;742;742;742;767;742;100;100;11;8208;Green
758;733;733;733;75;767;100;100;11;8208;Green
758;75;742;742;733;742;100;100;11;820;Green
75;725;733;733;775;75;100;100;1;820;Green
733;733;758;75;75;758;100;100;11;820;Green
758;742;725;717;75;767;100;100;12;8192;Green
758;75;725;758;75;725;100;100;12;8192;Green
75;75;70;742;75;758;100;100;0;8183;Bluish-Green
783;767;733;733;767;783;933;933;11;8183;Green
717;725;717;725;742;825;100;100;1;8175;Bluish-Green
733;733;75;725;742;733;100;100;12;8167;Green
717;742;733;742;733;742;100;100;11;8167;Bluish-Green
75;717;717;717;75;708;100;100;11;8167;Green
75;742;708;758;733;733;100;100;12;8167;Green
742;733;717;758;742;75;100;100;12;8158;Green
767;75;742;75;675;742;100;100;12;8158;Green
742;733;725;742;742;733;100;100;11;815;Bluish-Green
733;733;717;742;75;75;100;100;13;815;Green
742;742;717;733;742;742;100;100;1;8142;Bluish-Green
742;733;725;742;742;75;100;100;12;8142;Green
75;733;75;758;70;725;100;100;11;8125;Green
742;742;717;742;733;725;100;100;11;8117;Green
767;775;767;758;758;767;667;100;0;8108;Green
733;692;717;733;742;742;100;100;12;810;Green
733;708;725;70;75;742;100;100;1;8092;Green
767;725;708;733;717;725;100;100;11;8083;Green
767;717;70;75;70;70;100;100;12;8067;Green
742;733;733;758;758;742;867;100;11;805;Green
75;75;70;767;717;70;100;100;12;805;Green
733;717;708;708;733;717;100;100;0;8042;Green
725;708;725;717;733;717;100;100;17;8042;Green
733;733;683;75;70;717;100;100;11;8033;Green
733;733;70;717;717;717;100;100;11;8017;Green
725;717;692;725;717;725;100;100;1;8008;Green
733;708;708;733;742;717;933;100;12;7992;Green
725;708;692;75;708;692;100;100;12;7975;Green
70;708;70;725;75;742;933;100;12;7975;Green
758;75;767;775;767;758;80;100;1;7975;Bluish-Green
758;708;70;70;75;692;100;100;12;7975;Green
758;708;692;758;75;692;100;100;13;7975;Green
725;708;70;717;717;708;100;100;12;7975;Green
692;717;683;742;717;708;100;100;12;7967;Blue-Green
75;70;683;708;708;717;100;100;11;7967;Green
742;725;683;758;717;658;100;100;12;7967;Green
783;75;742;742;767;75;100;100;0;795;Green
708;733;725;758;733;742;933;933;1;7942;Green
742;725;675;725;742;725;933;100;0;7933;Green
742;708;675;733;733;692;100;100;13;7908;Green
733;70;675;708;717;725;933;100;12;7892;Green
75;692;692;725;758;742;933;933;12;7875;Green
733;708;633;725;70;70;100;100;12;7875;Green
70;692;683;717;717;717;100;933;0;7867;Green
733;717;692;708;733;70;933;933;1;780;Green
70;683;683;717;667;683;100;100;11;780;Green
70;683;667;717;683;683;100;100;11;7783;Green
758;767;758;767;742;742;933;60;12;7758;Green
708;692;633;70;692;70;100;100;11;7742;Green
708;692;683;667;758;742;867;100;12;7725;Green
75;733;733;758;767;725;80;80;0;7617;Bluish-Green
708;70;683;75;733;683;80;100;12;7467;Green
65;633;65;75;733;683;867;867;11;7433;Green
80;733;775;733;742;767;667;667;0;7283;Bluish-Green
