Scores_Aroma;Scores_Flavor;Scores_Aftertaste;Scores_Acidity;Scores_Body;Scores_Balance;Scores_Uniformity;Scores_Sweetness;Scores_Moisture;Scores_Total;Color
783;808;775;792;825;792;100;80;12;8375;Green
80;792;792;775;783;775;100;775;12;830;Green
833;783;783;775;825;775;100;758;12;830;Green
80;775;775;758;767;75;100;758;11;815;Green
75;75;725;783;767;783;100;783;13;8125;Blue-Green
733;758;75;775;775;767;100;775;12;8092;Green
783;758;733;767;75;75;100;775;12;8058;Green
775;742;733;758;767;758;100;767;12;805;Green
758;742;742;783;742;75;100;742;0;8017;Green
742;683;675;717;725;70;933;708;1;7508;Green
867;883;867;875;85;842;100;100;12;9058;Green
875;867;85;858;842;842;100;100;12;8992;Green
817;858;842;842;85;825;100;100;11;890;Green
825;85;825;85;842;833;100;100;12;8883;Green
808;858;85;85;767;842;100;100;1;8825;Green
808;825;80;817;80;833;100;100;11;8717;Green
80;808;792;80;808;808;100;100;1;8625;Green
808;808;80;80;783;808;100;100;11;8608;Bluish-Green
783;808;792;808;80;792;100;100;1;8583;Green
792;792;783;808;783;792;100;100;1;855;Green
783;775;783;767;783;858;100;100;11;8533;Green
792;808;80;792;80;808;100;933;0;8533;Bluish-Green
80;758;758;767;808;85;100;100;1;8533;Bluish-Green
842;80;742;80;792;792;933;100;1;8508;Green
758;783;783;792;783;817;100;100;11;8508;Bluish-Green
80;783;783;792;775;775;100;100;12;8492;Green
792;783;758;792;775;783;100;100;13;8475;Green
783;775;80;767;767;767;100;100;11;8475;Green
767;758;775;775;767;858;100;100;8;8467;Green
80;758;783;775;775;775;100;100;11;8467;Green
775;783;767;792;775;783;100;100;11;8458;Green
80;792;767;758;758;767;100;100;9;8458;Green
792;775;767;792;767;775;100;100;0;8442;Green
783;767;775;783;767;767;100;100;12;8425;Green
783;775;775;775;767;775;100;100;12;8425;Green
783;783;75;792;758;775;100;100;1;8425;Green
767;775;767;775;75;80;100;100;0;8417;Blue-Green
75;792;758;783;775;783;100;100;1;8417;Green
792;775;775;775;775;758;100;100;13;8417;Green
758;775;767;80;775;767;100;100;1;8408;Bluish-Green
792;767;742;792;775;783;100;100;1;840;Green
775;783;75;783;758;767;100;100;1;840;Green
767;775;767;767;767;775;100;100;12;840;Green
767;767;75;75;767;767;100;100;12;840;Green
775;758;767;783;783;767;100;100;0;8392;Green
775;775;767;767;758;767;100;100;12;8383;Green
758;783;733;80;758;775;100;100;1;8383;Green
767;767;767;792;75;767;100;100;0;8375;Green
767;742;742;742;80;833;100;100;0;8375;Green
75;775;758;783;767;758;100;100;12;8367;Bluish-Green
80;75;733;80;80;80;933;100;1;8367;Green
80;758;725;758;792;758;100;100;11;835;Green
733;783;775;75;742;783;100;100;12;8342;Green
775;767;758;767;758;758;100;100;13;8342;Green
767;775;75;783;758;75;100;100;1;8342;Green
775;758;767;758;758;758;100;100;12;8333;Green
767;767;742;767;767;767;100;100;12;8333;Green
783;758;783;767;792;80;933;933;11;8333;Bluish-Green
75;767;758;767;767;75;100;100;1;8325;Green
783;775;767;775;783;85;933;933;1;8317;Bluish-Green
767;758;758;775;742;767;100;100;12;8317;Bluish-Green
758;767;767;758;742;758;100;100;13;8317;Bluish-Green
80;767;75;742;733;758;100;100;1;8317;Bluish-Green
758;775;75;758;758;758;100;100;11;8317;Green
733;783;717;817;733;767;100;100;9;8317;Green
758;75;758;775;758;758;100;100;12;8317;Green
783;733;75;767;758;767;100;100;1;8308;Green
775;767;758;758;742;767;933;100;0;830;Green
767;767;767;75;742;75;100;100;0;830;Green
767;767;742;783;75;75;100;100;1;830;Green
808;75;767;742;733;75;100;100;0;8292;Bluish-Green
775;75;742;758;767;75;100;100;1;8292;Green
767;783;742;75;733;75;100;100;1;8292;Green
725;758;75;742;775;742;100;100;11;8283;Green
767;767;775;767;742;717;100;100;1;8283;Green
75;758;758;775;733;75;100;100;0;8275;Blue-Green
775;758;742;75;733;75;100;100;12;8275;Bluish-Green
775;742;725;775;75;767;100;100;13;8275;Green
767;742;742;758;733;767;100;100;12;8275;Green
75;75;75;75;75;758;100;100;12;8267;Green
758;75;75;758;733;758;100;100;12;8267;Green
767;758;742;75;742;75;100;100;11;8267;Green
775;733;742;767;742;75;100;100;12;8258;Green
758;758;742;775;767;767;933;100;0;8258;Green
75;783;75;775;733;742;933;100;12;825;Green
767;742;733;758;75;75;100;100;12;825;Green
775;70;742;758;758;758;100;100;12;825;Bluish-Green
742;75;742;758;742;75;100;100;11;8242;Green
733;758;742;758;733;75;100;100;12;8233;Green
758;767;75;758;775;75;933;100;12;8233;Green
733;758;742;75;75;75;100;100;11;8233;Green
758;742;733;742;758;75;100;100;13;8225;Blue-Green
742;742;717;775;725;767;100;100;12;8217;Bluish-Green
742;742;75;75;742;75;100;100;9;8217;Blue-Green
758;75;742;725;75;742;100;100;12;8217;Green
775;742;742;758;733;742;100;100;12;8217;Green
742;733;742;742;75;758;100;100;12;8208;Green
742;75;75;733;733;75;100;100;12;8208;Green
742;742;733;758;733;742;100;100;12;820;Green
75;742;733;758;733;75;100;100;13;820;Bluish-Green
733;733;733;75;75;783;100;100;11;820;Green
733;733;733;742;75;758;100;100;12;8192;Green
758;742;733;733;733;742;100;100;13;8183;Green
75;75;733;733;733;733;100;100;1;8183;Green
742;742;725;75;733;742;100;100;11;8183;Green
70;708;733;75;75;733;100;100;12;8175;Bluish-Green
742;742;742;742;733;733;100;100;12;8175;Bluish-Green
742;733;725;742;75;742;100;100;12;8167;Green
75;733;75;75;717;717;100;100;1;8167;Green
742;742;767;80;758;75;933;100;0;8167;Green
742;742;733;742;742;733;100;100;12;8158;Green
742;742;717;758;733;733;100;100;13;8158;Green
783;733;708;708;733;75;100;100;12;815;Green
767;742;692;75;75;717;100;100;12;815;Green
75;742;717;758;725;742;100;100;12;815;Green
758;717;733;742;708;742;100;100;12;8142;Bluish-Green
742;75;717;742;742;742;100;100;1;8142;Green
767;733;725;717;725;742;100;100;0;8142;Green
708;733;742;733;733;75;100;100;14;8133;Green
775;733;708;733;733;725;100;100;13;8133;Green
733;733;717;733;75;733;100;100;12;8133;Green
733;742;717;725;742;733;100;100;9;8125;Bluish-Green
733;717;717;75;725;742;100;100;13;8125;Green
758;717;717;733;733;725;100;100;12;8117;Bluish-Green
758;725;733;708;733;733;100;100;12;8117;Green
733;708;733;725;733;758;100;100;11;8117;Green
742;733;733;725;725;733;100;100;13;8108;Green
742;725;717;725;725;758;100;100;13;8108;Green
742;725;725;733;725;717;100;100;12;810;Green
767;775;783;775;783;775;100;100;12;810;Green
733;733;708;742;717;733;100;100;12;810;Green
742;708;717;717;758;725;100;100;1;8092;Bluish-Green
733;717;717;725;742;733;100;100;12;8092;Green
758;742;692;75;725;717;100;100;12;8092;Green
725;733;717;733;733;717;100;100;11;8075;Green
733;733;725;725;717;717;100;100;11;8075;Green
75;725;717;717;725;717;100;100;12;8067;Bluish-Green
725;717;717;725;717;742;100;100;12;8067;Green
725;708;708;733;733;725;100;100;12;8058;Bluish-Green
75;717;70;742;733;70;100;100;11;8058;Green
717;742;683;75;717;725;100;100;11;8058;Green
75;717;683;75;717;717;100;100;11;805;Green
725;717;725;725;725;708;100;100;12;8033;Bluish-Green
742;70;708;70;717;733;100;100;0;8025;Green
75;708;767;767;742;758;933;933;12;8025;Green
758;775;742;75;75;75;867;100;0;800;Green
75;70;70;692;733;717;100;100;11;7992;Green
725;733;683;70;70;717;100;100;1;7942;Green
733;717;658;742;708;683;100;100;12;790;Green
70;70;70;70;70;70;100;100;11;790;Green
683;708;692;675;725;708;100;100;11;7858;Green
733;717;692;758;725;717;867;100;12;7858;Green
75;775;758;783;792;792;733;867;1;7833;Bluish-Green
717;65;667;70;717;717;100;100;1;7833;Green
75;75;733;758;75;742;867;867;11;7825;Green
683;70;667;70;70;683;100;100;11;780;Green
758;733;75;742;75;733;80;933;12;780;Green
742;725;683;733;70;692;933;933;1;780;Green
75;725;742;70;708;683;867;100;12;7792;Green
733;70;683;717;717;717;933;933;1;7733;Green
742;775;742;767;792;783;867;933;0;770;Green
725;708;683;717;733;683;867;933;0;7625;Green
683;683;667;683;70;683;933;100;11;760;Green
75;725;70;725;742;733;80;667;0;7442;Blue-Green
70;717;683;717;70;717;80;80;11;7342;Green
692;692;692;75;758;717;667;933;11;7258;Green
633;65;633;683;633;65;100;100;11;7175;Green
692;70;683;692;742;692;60;100;12;7075;Green
667;65;617;667;683;617;80;80;1;6933;Green
70;617;617;667;65;617;80;80;1;6917;Green
70;633;617;65;667;617;80;80;1;6917;Green
767;775;783;783;792;775;100;80;0;8258;Green
767;783;783;783;792;775;100;775;12;8242;Green
758;792;775;783;75;767;100;767;12;8175;Green
758;758;767;758;767;767;100;75;0;8158;Green
80;767;775;75;767;758;100;758;12;815;Green
767;767;75;733;758;75;100;742;0;8017;Bluish-Green
842;825;808;817;792;80;100;100;1;8725;Green
783;80;783;792;783;808;100;100;12;855;Green
775;783;783;817;792;783;100;100;1;8542;Green
80;80;80;783;783;775;100;100;1;8533;Green
817;792;783;80;758;783;100;100;11;8525;Green
817;783;792;775;767;783;100;100;11;850;Green
792;783;775;783;775;80;100;100;12;8492;Green
808;775;767;783;75;792;100;100;1;8467;Blue-Green
775;783;758;80;792;775;100;100;1;8467;Green
775;792;767;783;775;767;100;100;1;845;Green
775;767;80;767;808;783;100;100;11;8433;Green
775;792;75;808;758;767;100;100;1;8425;Green
783;783;758;775;775;775;100;100;1;8425;Green
767;767;775;775;767;792;100;100;11;8425;Green
783;767;775;758;792;775;100;100;12;8425;Green
742;767;783;775;792;783;100;100;12;8425;Green
80;75;75;767;80;783;100;100;0;8417;Bluish-Green
767;783;783;75;767;783;100;100;12;8417;Bluish-Green
767;783;758;792;775;767;100;100;12;840;Green
767;775;75;767;767;783;100;100;1;8392;Bluish-Green
767;767;775;767;75;775;100;100;0;8383;Blue-Green
783;775;767;75;758;767;100;100;1;8375;Green
767;758;758;758;767;775;100;100;1;8358;Green
767;775;758;767;775;758;100;100;12;8358;Green
792;742;75;767;75;767;100;100;0;835;Blue-Green
758;758;758;758;775;767;100;100;12;835;Green
775;767;758;767;767;758;100;100;13;835;Green
725;767;758;792;783;758;100;100;13;835;Bluish-Green
758;775;733;775;767;758;100;100;11;8342;Green
758;767;758;767;758;767;100;100;12;8342;Green
767;775;742;783;783;742;100;100;11;8333;Green
75;767;767;742;767;767;100;100;12;8325;Green
75;767;733;767;767;767;100;100;11;8317;Green
767;767;75;767;742;758;100;100;1;8317;Green
75;775;75;783;758;75;100;100;11;8317;Green
792;767;742;775;75;75;100;100;12;8317;Green
758;758;758;75;767;758;100;100;11;8308;Bluish-Green
767;758;742;742;783;75;100;100;12;830;Green
767;767;75;758;742;75;100;100;12;830;Green
767;775;733;792;742;75;100;100;11;830;Green
775;767;733;775;75;742;100;100;11;830;Green
783;767;725;767;775;75;100;100;11;830;Green
758;758;767;758;75;75;100;100;11;8292;Blue-Green
775;767;742;742;775;75;100;100;12;8292;Bluish-Green
767;758;758;75;75;742;100;100;11;8283;Bluish-Green
783;792;775;783;775;775;933;933;11;8283;Bluish-Green
758;758;733;767;767;75;100;100;11;8283;Green
75;75;758;75;758;758;100;100;11;8275;Bluish-Green
767;75;733;733;767;767;100;100;1;8275;Green
75;767;742;767;75;75;100;100;11;8275;Green
775;75;733;758;733;775;100;100;0;8267;Green
783;758;742;733;742;75;100;100;13;8258;Blue-Green
767;742;742;75;742;742;100;100;1;8242;Green
775;75;725;725;742;767;100;100;1;8233;Bluish-Green
775;733;75;75;733;758;100;100;0;8233;Green
75;758;742;75;742;742;100;100;12;8233;Green
75;742;717;783;75;75;100;100;1;8233;Green
758;75;742;758;742;742;100;100;11;8225;Green
75;75;717;742;75;75;100;100;11;8217;Bluish-Green
758;742;742;733;75;742;100;100;13;8217;Green
767;75;725;742;758;742;100;100;11;8217;Green
775;742;742;725;717;742;100;100;0;8208;Blue-Green
767;733;733;742;742;742;100;100;13;820;Green
742;75;725;733;75;75;100;100;12;820;Blue-Green
775;783;758;775;792;783;100;100;11;8183;Green
758;75;733;742;758;725;100;100;1;8183;Green
733;758;75;742;733;733;100;100;0;8183;Green
758;75;733;75;717;733;100;100;11;8183;Green
75;75;733;75;742;725;100;100;12;8183;Green
767;75;75;725;708;742;100;100;9;8183;Green
758;742;75;717;708;758;100;100;12;8158;Green
725;742;725;75;733;733;100;100;0;815;Green
75;733;717;725;75;742;100;100;12;8142;Green
758;742;717;742;717;717;100;100;9;8133;Green
708;75;733;717;742;725;100;100;1;8125;Green
742;717;717;75;733;725;100;100;12;8125;Green
75;75;733;717;708;717;100;100;11;8117;Bluish-Green
742;733;70;742;733;733;100;100;13;8117;Green
75;725;70;725;75;725;100;100;11;810;Green
692;75;70;758;75;708;100;100;0;8075;Green
75;733;70;742;717;717;100;100;12;8075;Green
725;725;717;725;733;725;100;100;12;8075;Green
75;733;70;742;725;717;100;100;11;8075;Green
742;717;708;742;725;725;100;100;9;8075;Green
725;733;708;75;725;733;100;100;13;8075;Green
758;742;70;767;75;75;933;100;13;8067;Blue-Green
783;75;767;767;783;75;667;100;11;8067;Blue-Green
717;733;717;742;725;708;100;100;0;805;Green
80;708;70;733;708;692;100;100;11;8025;Green
725;725;70;717;708;708;100;100;11;8017;Green
717;733;70;742;717;70;100;100;0;800;Green
783;767;758;775;783;717;667;100;0;7992;Green
692;692;70;742;725;70;100;100;12;795;Green
725;717;675;725;70;692;100;100;11;7917;Green
792;783;792;80;783;792;100;783;0;8325;Green
767;775;758;783;783;80;100;792;9;825;Green
767;783;775;75;775;758;100;775;11;8158;Green
775;775;767;767;758;758;100;758;0;8142;Green
817;808;808;80;808;80;100;100;1;8667;Green
792;808;792;808;808;783;100;100;1;8592;Green
80;792;775;80;792;783;100;100;1;8525;Green
775;80;758;80;80;792;100;100;11;8508;Green
817;792;775;775;767;775;100;100;11;850;Green
80;792;775;792;775;783;100;100;0;850;Green
783;80;758;792;792;783;100;100;12;850;Green
792;783;775;775;775;775;100;100;12;8467;Green
783;767;758;792;767;783;100;100;0;8458;Blue-Green
792;783;758;80;783;767;100;100;0;8458;Green
792;775;767;775;783;775;100;100;11;845;Green
792;80;775;767;767;775;100;100;1;8433;Green
758;792;758;775;792;775;100;100;11;8433;Green
775;775;758;792;775;775;100;100;11;8425;Green
783;775;758;767;775;783;100;100;0;8417;Green
792;775;767;767;75;767;100;100;9;8417;Bluish-Green
775;775;758;80;767;783;100;100;11;8417;Green
775;792;758;792;767;767;100;100;1;8417;Green
758;783;758;783;783;767;100;100;1;8417;Green
80;775;75;758;792;767;100;100;1;8408;Green
758;767;767;775;758;783;100;100;11;8392;Green
775;767;75;775;783;775;100;100;11;8392;Green
783;767;75;775;775;775;100;100;0;8383;Green
775;775;75;775;783;758;100;100;11;8383;Green
792;775;75;767;775;75;100;100;0;8375;Green
75;75;767;767;80;80;100;100;1;8367;Green
767;775;767;767;783;758;100;100;1;8367;Green
758;775;758;775;758;758;100;100;11;8367;Green
775;775;75;783;758;758;100;100;11;8358;Green
775;775;758;758;767;758;100;100;11;8358;Green
775;758;758;775;775;75;100;100;0;835;Bluish-Green
775;758;758;75;775;775;100;100;0;835;Green
767;775;75;783;758;758;100;100;1;835;Bluish-Green
767;767;75;767;767;758;100;100;11;8342;Green
758;75;742;792;75;767;100;100;9;8342;Blue-Green
767;758;758;742;767;775;100;100;0;8333;Blue-Green
783;758;758;758;75;758;100;100;0;8333;Green
75;75;783;75;767;767;100;100;11;8325;Green
75;758;742;783;767;758;100;100;11;8325;Green
758;767;742;75;767;742;100;100;12;8325;Green
767;758;742;767;767;758;100;100;12;8317;Green
767;775;742;775;758;75;100;100;11;8317;Green
767;767;75;767;75;767;100;100;11;8317;Blue-Green
758;767;733;767;775;758;100;100;0;8308;Green
775;75;75;742;80;775;100;100;0;8308;Green
75;758;758;767;758;75;100;100;11;830;Green
75;767;758;767;758;742;100;100;11;830;Bluish-Green
767;767;733;767;75;758;100;100;11;830;Green
758;75;742;767;742;75;100;100;9;8275;Bluish-Green
75;758;75;767;75;742;100;100;11;8267;Bluish-Green
75;758;742;75;775;733;100;100;11;8258;Green
742;742;75;733;725;767;100;100;0;8258;Green
75;75;733;75;767;75;100;100;1;825;Green
767;758;725;767;742;733;100;100;12;8242;Green
508;775;783;775;783;808;100;100;11;8242;Green
742;75;733;75;725;742;100;100;11;8242;Green
733;75;75;733;75;75;100;100;11;8233;Green
75;75;742;75;742;75;100;100;11;8233;Bluish-Green
767;75;725;767;742;742;100;100;11;8225;Green
742;742;75;742;742;75;100;100;11;8217;Green
742;758;742;75;742;725;100;100;11;8208;Green
75;733;742;75;733;742;100;100;11;820;Green
725;733;75;733;767;742;100;100;0;8183;Green
742;75;742;75;742;725;100;100;11;8183;Green
758;75;733;733;742;725;100;100;11;8167;Blue-Green
717;733;733;742;75;733;100;100;0;8167;Green
742;733;708;758;733;725;100;100;1;8142;Green
767;742;70;742;758;708;100;100;12;8133;Green
733;75;717;717;758;717;100;100;9;8117;Green
758;742;75;725;775;758;933;933;11;8108;Green
742;725;717;75;725;717;100;100;9;810;Green
767;75;742;525;767;775;100;100;0;810;Green
733;725;733;708;758;725;933;100;11;8058;Green
708;75;70;725;742;70;100;100;11;8058;Green
725;742;70;742;733;70;100;100;1;8042;Green
708;725;717;733;708;708;100;100;12;8033;Green
725;725;70;70;742;70;100;100;1;8025;Green
725;717;70;733;733;70;100;100;1;8025;Green
75;742;725;758;733;742;933;933;1;7975;Green
742;742;725;758;742;733;933;933;1;7967;Green
742;725;683;70;733;708;933;100;13;7933;Bluish-Green
708;70;692;742;70;692;100;100;11;7917;Green
717;70;692;70;70;70;100;100;1;7883;Green
708;70;675;683;708;692;100;100;1;7858;Green
767;733;717;667;717;742;933;667;0;7683;Green
725;658;658;70;70;642;80;100;11;735;Green
725;658;633;625;642;608;60;60;13;6308;Green
775;758;733;758;508;783;100;775;0;7875;Blue-Green
75;767;775;775;517;525;100;842;0;7808;Blue-Green
80;80;792;808;783;80;100;100;8;8583;Bluish-Green
767;767;783;758;783;783;100;100;0;8442;Blue-Green
775;783;758;783;767;775;100;100;13;8417;Green
781;788;756;775;763;775;100;100;12;8413;Bluish-Green
783;775;767;775;733;775;100;100;11;840;Green
742;783;775;792;775;758;100;100;1;840;Green
783;783;758;792;742;75;100;100;11;8392;Green
783;783;758;758;758;758;100;100;11;8375;Green
808;767;767;758;725;767;100;100;11;8367;Bluish-Green
767;775;75;758;758;767;100;100;1;8342;Green
767;783;742;783;733;75;100;100;11;8325;Blue-Green
758;758;733;767;775;758;100;100;1;8317;Green
792;75;75;758;767;75;100;100;11;8317;Green
758;767;75;733;767;758;100;100;11;8292;Green
775;758;742;758;75;75;100;100;1;8283;Green
75;758;733;767;758;758;100;100;11;8283;Green
758;767;75;758;75;742;100;100;11;8275;Green
75;767;717;767;767;758;100;100;11;8275;Green
75;75;742;758;767;75;100;100;1;8275;Green
742;758;742;767;75;75;100;100;1;8275;Green
75;758;742;758;758;75;100;100;12;8275;Blue-Green
758;758;733;758;733;767;100;100;12;8275;Green
758;75;742;758;75;75;100;100;9;8275;Green
75;742;742;775;75;75;100;100;1;8258;Green
783;775;725;75;742;733;100;100;11;825;Green
758;758;733;75;75;75;100;100;1;825;Green
742;767;717;758;758;75;100;100;12;8242;Green
758;75;733;775;733;75;100;100;1;8242;Green
758;75;725;767;75;75;100;100;12;8242;Green
75;758;733;75;742;742;100;100;1;8233;Green
758;75;725;758;758;75;933;100;1;8192;Green
75;75;725;742;742;742;100;100;11;8192;Green
758;75;725;733;742;75;100;100;12;8192;Green
742;75;725;75;733;742;100;100;1;8183;Green
75;75;725;742;742;733;100;100;11;8175;Green
742;742;708;742;733;742;100;100;1;8167;Green
742;733;717;767;733;742;100;100;12;8167;Green
742;742;708;75;742;733;100;100;12;8158;Green
767;758;717;742;733;742;933;100;1;815;Green
75;742;733;733;725;733;100;100;11;815;Green
75;75;733;742;717;725;100;100;1;815;Green
75;742;725;725;75;725;100;100;12;815;Green
758;733;708;733;75;733;100;100;12;8142;Green
767;767;733;758;767;75;933;933;1;8092;Green
717;758;75;75;80;775;100;100;11;8092;Green
75;733;717;742;75;733;933;100;11;8092;Green
733;725;708;717;725;717;100;100;1;805;Green
758;733;70;717;733;708;100;100;11;805;Green
733;708;692;708;742;717;100;100;1;800;Green
733;725;692;733;725;733;933;100;1;7983;Green
733;742;733;742;75;742;867;933;1;7917;Green
758;70;675;692;70;692;100;100;11;7917;Green
758;767;742;742;767;767;867;867;1;7908;Green
0;0;0;0;0;0;0;0;12;0;Green
767;775;783;767;792;783;100;792;1;825;Bluish-Green
75;742;708;742;75;733;100;100;11;8158;Blue-Green
